                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.80485,                 1.7666,                0.78399,                 1.1329,                0.96209,                0.90161,                0.93756,                0.86856,                0.95701,                0.88352,                0.92659,                0.81536,                0.40344,                0.69257,                0.33734,                0.88985,               0.007129,               0.007129,               0.007129
                     90,                0.80705,                  1.781,                0.78468,                  1.133,                0.96217,                0.90145,                0.93769,                0.86864,                0.95751,                0.88354,                 0.9265,                0.81572,                0.40291,                  0.692,                 0.3367,                 0.8892,               0.007096,               0.007096,               0.007096
                     91,                0.80744,                 1.7811,                0.78815,                 1.1338,                0.96233,                0.90169,                0.93765,                0.86845,                0.95766,                0.88296,                0.92662,                0.81569,                0.40219,                0.69152,                0.33574,                0.88835,               0.007063,               0.007063,               0.007063
                     92,                0.80473,                 1.7765,                0.78375,                 1.1325,                0.96249,                0.90128,                0.93786,                0.86878,                0.95858,                 0.8826,                0.92646,                0.81526,                0.40155,                0.69144,                0.33485,                0.88766,                0.00703,                0.00703,                0.00703
                     93,                0.80341,                 1.7781,                0.78133,                 1.1299,                0.96283,                0.90162,                0.93796,                0.86889,                0.95882,                0.88265,                0.92655,                0.81535,                0.40146,                0.69043,                0.33426,                0.88708,               0.006997,               0.006997,               0.006997
                     94,                0.80685,                 1.7875,                0.78701,                 1.1325,                0.96231,                0.90197,                0.93803,                0.86916,                0.95906,                0.88234,                0.92658,                0.81577,                0.40109,                0.68967,                0.33378,                 0.8864,               0.006964,               0.006964,               0.006964
                     95,                 0.8032,                 1.7812,                0.78468,                 1.1305,                0.96268,                0.90192,                0.93827,                0.86948,                0.95784,                0.88345,                0.92667,                0.81593,                0.40099,                0.68918,                0.33325,                 0.8857,               0.006931,               0.006931,               0.006931
                     96,                0.80428,                 1.7755,                0.78058,                 1.1308,                0.96291,                0.90232,                0.93835,                0.86938,                0.95409,                0.88748,                0.92697,                0.81579,                0.40044,                0.68869,                0.33259,                0.88511,               0.006898,               0.006898,               0.006898
                     97,                0.80239,                 1.7734,                0.77921,                 1.1284,                0.96314,                0.90233,                0.93835,                0.86984,                0.95934,                0.88266,                0.92703,                0.81626,                0.40006,                0.68852,                 0.3322,                0.88443,               0.006865,               0.006865,               0.006865
                     98,                0.80131,                 1.7682,                0.77934,                 1.1285,                0.96364,                0.90152,                0.93843,                0.87001,                0.95945,                0.88233,                0.92666,                0.81548,                0.39978,                0.68777,                0.33152,                0.88399,               0.006832,               0.006832,               0.006832
                     99,                0.80135,                 1.7728,                0.77997,                 1.1279,                0.96274,                0.90341,                0.93863,                0.87051,                 0.9599,                0.88242,                0.92711,                0.81594,                0.39949,                0.68725,                0.33071,                 0.8834,               0.006799,               0.006799,               0.006799
                    100,                0.80222,                 1.7731,                0.77976,                 1.1259,                0.96329,                 0.9031,                0.93871,                0.87053,                0.96036,                0.88288,                0.92724,                0.81596,                0.39893,                0.68687,                0.32978,                0.88277,               0.006766,               0.006766,               0.006766
                    101,                0.80196,                  1.776,                0.77949,                 1.1267,                0.96337,                 0.9029,                0.93872,                0.87051,                0.96117,                0.88326,                0.92757,                0.81612,                0.39852,                0.68636,                0.32918,                0.88222,               0.006733,               0.006733,               0.006733
                    102,                0.80313,                 1.7675,                0.77406,                  1.126,                 0.9633,                  0.903,                0.93879,                0.87058,                0.96102,                0.88267,                0.92735,                0.81569,                0.39814,                0.68658,                0.32835,                0.88145,                 0.0067,                 0.0067,                 0.0067
                    103,                0.80249,                 1.7664,                 0.7771,                 1.1257,                0.96343,                 0.9035,                0.93891,                0.87083,                0.96194,                0.88287,                0.92768,                0.81589,                0.39751,                0.68522,                0.32751,                0.88083,               0.006667,               0.006667,               0.006667
                    104,                0.80006,                 1.7702,                0.77966,                 1.1248,                0.96309,                0.90402,                0.93916,                0.87105,                0.95894,                0.88592,                 0.9277,                0.81593,                0.39686,                0.68474,                0.32645,                0.88012,               0.006634,               0.006634,               0.006634
                    105,                0.79931,                 1.7671,                0.77268,                 1.1233,                0.96326,                0.90416,                0.93923,                0.87131,                0.96158,                0.88351,                0.92761,                0.81601,                0.39624,                0.68392,                0.32575,                0.87943,               0.006601,               0.006601,               0.006601
                    106,                 0.8032,                 1.7805,                0.77848,                 1.1257,                0.96363,                0.90383,                0.93925,                0.87146,                 0.9579,                0.88651,                0.92774,                0.81591,                0.39627,                0.68359,                0.32547,                0.87878,               0.006568,               0.006568,               0.006568
                    107,                0.79856,                 1.7668,                0.77139,                 1.1211,                0.96304,                0.90424,                0.93934,                0.87173,                0.95798,                0.88702,                0.92788,                 0.8162,                0.39597,                0.68369,                0.32471,                0.87814,               0.006535,               0.006535,               0.006535
